position_id,wk_file,wk_rank,wr_file,wr_rank,bk_file,bk_rank,wk_square,wr_square,bk_square,fen,target_raw,target_depth,target_bucket,bk_edge_dist,bk_corner_dist,bk_center_dist,wk_bk_chebyshev,wr_bk_manhattan,wk_wr_chebyshev,wk_bk_euclidean,wr_bk_euclidean,wr_bk_aligned,wk_support_close,bk_on_edge,bk_in_corner
10,1,1,3,3,4,2,a1,c3,d2,8/8/8/8/8/2R5/3k4/K7 w - - 0 1,draw,-1,draw,1,3,2,3,2,2,3.1622776601683795,1.4142135623730951,0,0,0,0
11,1,1,3,3,4,3,a1,c3,d3,8/8/8/8/8/2Rk4/8/K7 w - - 0 1,draw,-1,draw,2,3,1,3,1,2,3.605551275463989,1.0,1,0,0,0
12,1,1,3,3,4,4,a1,c3,d4,8/8/8/8/3k4/2R5/8/K7 w - - 0 1,draw,-1,draw,3,3,0,3,2,2,4.242640687119285,1.4142135623730951,0,0,0,0
13,1,1,3,4,4,3,a1,c4,d3,8/8/8/8/2R5/3k4/8/K7 w - - 0 1,draw,-1,draw,2,3,1,3,2,3,3.605551275463989,1.4142135623730951,0,0,0,0
14,1,1,4,1,3,1,a1,d1,c1,8/8/8/8/8/8/8/K1kR4 w - - 0 1,draw,-1,draw,0,2,3,2,1,3,2.0,1.0,1,1,1,0
15,1,1,4,1,3,2,a1,d1,c2,8/8/8/8/8/8/2k5/K2R4 w - - 0 1,draw,-1,draw,1,2,2,2,2,3,2.23606797749979,1.4142135623730951,0,1,0,0
16,1,1,4,1,4,2,a1,d1,d2,8/8/8/8/8/8/3k4/K2R4 w - - 0 1,draw,-1,draw,1,3,2,3,1,3,3.1622776601683795,1.0,1,0,0,0
17,1,1,4,1,5,1,a1,d1,e1,8/8/8/8/8/8/8/K2Rk3 w - - 0 1,draw,-1,draw,0,3,3,4,1,3,4.0,1.0,1,0,1,0
18,1,1,4,1,5,2,a1,d1,e2,8/8/8/8/8/8/4k3/K2R4 w - - 0 1,draw,-1,draw,1,3,2,4,2,3,4.123105625617661,1.4142135623730951,0,0,0,0
19,1,1,4,2,3,1,a1,d2,c1,8/8/8/8/8/8/3R4/K1k5 w - - 0 1,draw,-1,draw,0,2,3,2,2,3,2.0,1.4142135623730951,0,1,1,0
20,1,1,4,2,3,2,a1,d2,c2,8/8/8/8/8/8/2kR4/K7 w - - 0 1,draw,-1,draw,1,2,2,2,1,3,2.23606797749979,1.0,1,1,0,0
21,1,1,4,2,3,3,a1,d2,c3,8/8/8/8/8/2k5/3R4/K7 w - - 0 1,draw,-1,draw,2,2,1,2,2,3,2.8284271247461903,1.4142135623730951,0,1,0,0
22,1,1,4,2,4,1,a1,d2,d1,8/8/8/8/8/8/3R4/K2k4 w - - 0 1,draw,-1,draw,0,3,3,3,1,3,3.0,1.0,1,0,1,0
23,1,1,4,2,4,3,a1,d2,d3,8/8/8/8/8/3k4/3R4/K7 w - - 0 1,draw,-1,draw,2,3,1,3,1,3,3.605551275463989,1.0,1,0,0,0
24,1,1,4,2,5,1,a1,d2,e1,8/8/8/8/8/8/3R4/K3k3 w - - 0 1,draw,-1,draw,0,3,3,4,2,3,4.0,1.4142135623730951,0,0,1,0
25,1,1,4,2,5,2,a1,d2,e2,8/8/8/8/8/8/3Rk3/K7 w - - 0 1,draw,-1,draw,1,3,2,4,1,3,4.123105625617661,1.0,1,0,0,0
26,1,1,4,2,5,3,a1,d2,e3,8/8/8/8/8/4k3/3R4/K7 w - - 0 1,draw,-1,draw,2,3,1,4,2,3,4.47213595499958,1.4142135623730951,0,0,0,0
27,1,1,4,3,3,2,a1,d3,c2,8/8/8/8/8/3R4/2k5/K7 w - - 0 1,draw,-1,draw,1,2,2,2,2,3,2.23606797749979,1.4142135623730951,0,1,0,0
28,1,1,4,3,3,3,a1,d3,c3,8/8/8/8/8/2kR4/8/K7 w - - 0 1,draw,-1,draw,2,2,1,2,1,3,2.8284271247461903,1.0,1,1,0,0
29,1,1,4,3,4,2,a1,d3,d2,8/8/8/8/8/3R4/3k4/K7 w - - 0 1,draw,-1,draw,1,3,2,3,1,3,3.1622776601683795,1.0,1,0,0,0
30,1,1,4,3,4,4,a1,d3,d4,8/8/8/8/3k4/3R4/8/K7 w - - 0 1,draw,-1,draw,3,3,0,3,1,3,4.242640687119285,1.0,1,0,0,0
31,1,1,4,3,5,2,a1,d3,e2,8/8/8/8/8/3R4/4k3/K7 w - - 0 1,draw,-1,draw,1,3,2,4,2,3,4.123105625617661,1.4142135623730951,0,0,0,0
32,1,1,4,3,5,3,a1,d3,e3,8/8/8/8/8/3Rk3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,4,1,3,4.47213595499958,1.0,1,0,0,0
33,1,1,4,3,5,4,a1,d3,e4,8/8/8/8/4k3/3R4/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,3,5.0,1.4142135623730951,0,0,0,0
34,1,1,4,4,3,3,a1,d4,c3,8/8/8/8/3R4/2k5/8/K7 w - - 0 1,draw,-1,draw,2,2,1,2,2,3,2.8284271247461903,1.4142135623730951,0,1,0,0
35,1,1,4,4,4,3,a1,d4,d3,8/8/8/8/3R4/3k4/8/K7 w - - 0 1,draw,-1,draw,2,3,1,3,1,3,3.605551275463989,1.0,1,0,0,0
36,1,1,4,4,5,3,a1,d4,e3,8/8/8/8/3R4/4k3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,4,2,3,4.47213595499958,1.4142135623730951,0,0,0,0
37,1,1,4,4,5,4,a1,d4,e4,8/8/8/8/3Rk3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,3,5.0,1.0,1,0,0,0
38,1,1,4,4,5,5,a1,d4,e5,8/8/8/4k3/3R4/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,3,5.656854249492381,1.4142135623730951,0,0,0,0
39,1,1,4,5,5,4,a1,d5,e4,8/8/8/3R4/4k3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,4,5.0,1.4142135623730951,0,0,0,0
40,1,1,5,1,4,1,a1,e1,d1,8/8/8/8/8/8/8/K2kR3 w - - 0 1,draw,-1,draw,0,3,3,3,1,4,3.0,1.0,1,0,1,0
41,1,1,5,1,4,2,a1,e1,d2,8/8/8/8/8/8/3k4/K3R3 w - - 0 1,draw,-1,draw,1,3,2,3,2,4,3.1622776601683795,1.4142135623730951,0,0,0,0
42,1,1,5,1,5,2,a1,e1,e2,8/8/8/8/8/8/4k3/K3R3 w - - 0 1,draw,-1,draw,1,3,2,4,1,4,4.123105625617661,1.0,1,0,0,0
43,1,1,5,1,6,1,a1,e1,f1,8/8/8/8/8/8/8/K3Rk2 w - - 0 1,draw,-1,draw,0,2,3,5,1,4,5.0,1.0,1,0,1,0
44,1,1,5,1,6,2,a1,e1,f2,8/8/8/8/8/8/5k2/K3R3 w - - 0 1,draw,-1,draw,1,2,2,5,2,4,5.0990195135927845,1.4142135623730951,0,0,0,0
45,1,1,5,2,4,1,a1,e2,d1,8/8/8/8/8/8/4R3/K2k4 w - - 0 1,draw,-1,draw,0,3,3,3,2,4,3.0,1.4142135623730951,0,0,1,0
46,1,1,5,2,4,2,a1,e2,d2,8/8/8/8/8/8/3kR3/K7 w - - 0 1,draw,-1,draw,1,3,2,3,1,4,3.1622776601683795,1.0,1,0,0,0
47,1,1,5,2,4,3,a1,e2,d3,8/8/8/8/8/3k4/4R3/K7 w - - 0 1,draw,-1,draw,2,3,1,3,2,4,3.605551275463989,1.4142135623730951,0,0,0,0
48,1,1,5,2,5,1,a1,e2,e1,8/8/8/8/8/8/4R3/K3k3 w - - 0 1,draw,-1,draw,0,3,3,4,1,4,4.0,1.0,1,0,1,0
49,1,1,5,2,5,3,a1,e2,e3,8/8/8/8/8/4k3/4R3/K7 w - - 0 1,draw,-1,draw,2,3,1,4,1,4,4.47213595499958,1.0,1,0,0,0
50,1,1,5,2,6,1,a1,e2,f1,8/8/8/8/8/8/4R3/K4k2 w - - 0 1,draw,-1,draw,0,2,3,5,2,4,5.0,1.4142135623730951,0,0,1,0
51,1,1,5,2,6,2,a1,e2,f2,8/8/8/8/8/8/4Rk2/K7 w - - 0 1,draw,-1,draw,1,2,2,5,1,4,5.0990195135927845,1.0,1,0,0,0
52,1,1,5,2,6,3,a1,e2,f3,8/8/8/8/8/5k2/4R3/K7 w - - 0 1,draw,-1,draw,2,2,1,5,2,4,5.385164807134504,1.4142135623730951,0,0,0,0
53,1,1,5,3,4,2,a1,e3,d2,8/8/8/8/8/4R3/3k4/K7 w - - 0 1,draw,-1,draw,1,3,2,3,2,4,3.1622776601683795,1.4142135623730951,0,0,0,0
54,1,1,5,3,4,3,a1,e3,d3,8/8/8/8/8/3kR3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,3,1,4,3.605551275463989,1.0,1,0,0,0
55,1,1,5,3,4,4,a1,e3,d4,8/8/8/8/3k4/4R3/8/K7 w - - 0 1,draw,-1,draw,3,3,0,3,2,4,4.242640687119285,1.4142135623730951,0,0,0,0
56,1,1,5,3,5,2,a1,e3,e2,8/8/8/8/8/4R3/4k3/K7 w - - 0 1,draw,-1,draw,1,3,2,4,1,4,4.123105625617661,1.0,1,0,0,0
57,1,1,5,3,5,4,a1,e3,e4,8/8/8/8/4k3/4R3/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,4,5.0,1.0,1,0,0,0
58,1,1,5,3,6,2,a1,e3,f2,8/8/8/8/8/4R3/5k2/K7 w - - 0 1,draw,-1,draw,1,2,2,5,2,4,5.0990195135927845,1.4142135623730951,0,0,0,0
59,1,1,5,3,6,3,a1,e3,f3,8/8/8/8/8/4Rk2/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,1,4,5.385164807134504,1.0,1,0,0,0
60,1,1,5,3,6,4,a1,e3,f4,8/8/8/8/5k2/4R3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,4,5.830951894845301,1.4142135623730951,0,0,0,0
61,1,1,5,4,4,3,a1,e4,d3,8/8/8/8/4R3/3k4/8/K7 w - - 0 1,draw,-1,draw,2,3,1,3,2,4,3.605551275463989,1.4142135623730951,0,0,0,0
62,1,1,5,4,4,4,a1,e4,d4,8/8/8/8/3kR3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,3,1,4,4.242640687119285,1.0,1,0,0,0
63,1,1,5,4,5,3,a1,e4,e3,8/8/8/8/4R3/4k3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,4,1,4,4.47213595499958,1.0,1,0,0,0
64,1,1,5,4,5,5,a1,e4,e5,8/8/8/4k3/4R3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,4,5.656854249492381,1.0,1,0,0,0
65,1,1,5,4,6,3,a1,e4,f3,8/8/8/8/4R3/5k2/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,2,4,5.385164807134504,1.4142135623730951,0,0,0,0
66,1,1,5,4,6,4,a1,e4,f4,8/8/8/8/4Rk2/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,4,5.830951894845301,1.0,1,0,0,0
67,1,1,5,4,6,5,a1,e4,f5,8/8/8/5k2/4R3/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,4,6.4031242374328485,1.4142135623730951,0,0,0,0
68,1,1,5,5,4,4,a1,e5,d4,8/8/8/4R3/3k4/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,3,2,4,4.242640687119285,1.4142135623730951,0,0,0,0
69,1,1,5,5,5,4,a1,e5,e4,8/8/8/4R3/4k3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,4,5.0,1.0,1,0,0,0
70,1,1,5,5,6,4,a1,e5,f4,8/8/8/4R3/5k2/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,4,5.830951894845301,1.4142135623730951,0,0,0,0
71,1,1,5,5,6,5,a1,e5,f5,8/8/8/4Rk2/8/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,4,6.4031242374328485,1.0,1,0,0,0
72,1,1,5,5,6,6,a1,e5,f6,8/8/5k2/4R3/8/8/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,2,4,7.0710678118654755,1.4142135623730951,0,0,0,0
73,1,1,5,6,6,5,a1,e6,f5,8/8/4R3/5k2/8/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,5,6.4031242374328485,1.4142135623730951,0,0,0,0
74,1,1,6,1,5,1,a1,f1,e1,8/8/8/8/8/8/8/K3kR2 w - - 0 1,draw,-1,draw,0,3,3,4,1,5,4.0,1.0,1,0,1,0
75,1,1,6,1,5,2,a1,f1,e2,8/8/8/8/8/8/4k3/K4R2 w - - 0 1,draw,-1,draw,1,3,2,4,2,5,4.123105625617661,1.4142135623730951,0,0,0,0
76,1,1,6,1,6,2,a1,f1,f2,8/8/8/8/8/8/5k2/K4R2 w - - 0 1,draw,-1,draw,1,2,2,5,1,5,5.0990195135927845,1.0,1,0,0,0
77,1,1,6,1,7,1,a1,f1,g1,8/8/8/8/8/8/8/K4Rk1 w - - 0 1,draw,-1,draw,0,1,3,6,1,5,6.0,1.0,1,0,1,0
78,1,1,6,1,7,2,a1,f1,g2,8/8/8/8/8/8/6k1/K4R2 w - - 0 1,draw,-1,draw,1,1,2,6,2,5,6.082762530298219,1.4142135623730951,0,0,0,0
79,1,1,6,2,5,1,a1,f2,e1,8/8/8/8/8/8/5R2/K3k3 w - - 0 1,draw,-1,draw,0,3,3,4,2,5,4.0,1.4142135623730951,0,0,1,0
80,1,1,6,2,5,2,a1,f2,e2,8/8/8/8/8/8/4kR2/K7 w - - 0 1,draw,-1,draw,1,3,2,4,1,5,4.123105625617661,1.0,1,0,0,0
81,1,1,6,2,5,3,a1,f2,e3,8/8/8/8/8/4k3/5R2/K7 w - - 0 1,draw,-1,draw,2,3,1,4,2,5,4.47213595499958,1.4142135623730951,0,0,0,0
82,1,1,6,2,6,1,a1,f2,f1,8/8/8/8/8/8/5R2/K4k2 w - - 0 1,draw,-1,draw,0,2,3,5,1,5,5.0,1.0,1,0,1,0
83,1,1,6,2,6,3,a1,f2,f3,8/8/8/8/8/5k2/5R2/K7 w - - 0 1,draw,-1,draw,2,2,1,5,1,5,5.385164807134504,1.0,1,0,0,0
84,1,1,6,2,7,1,a1,f2,g1,8/8/8/8/8/8/5R2/K5k1 w - - 0 1,draw,-1,draw,0,1,3,6,2,5,6.0,1.4142135623730951,0,0,1,0
85,1,1,6,2,7,2,a1,f2,g2,8/8/8/8/8/8/5Rk1/K7 w - - 0 1,draw,-1,draw,1,1,2,6,1,5,6.082762530298219,1.0,1,0,0,0
86,1,1,6,2,7,3,a1,f2,g3,8/8/8/8/8/6k1/5R2/K7 w - - 0 1,draw,-1,draw,1,2,2,6,2,5,6.324555320336759,1.4142135623730951,0,0,0,0
87,1,1,6,3,5,2,a1,f3,e2,8/8/8/8/8/5R2/4k3/K7 w - - 0 1,draw,-1,draw,1,3,2,4,2,5,4.123105625617661,1.4142135623730951,0,0,0,0
88,1,1,6,3,5,3,a1,f3,e3,8/8/8/8/8/4kR2/8/K7 w - - 0 1,draw,-1,draw,2,3,1,4,1,5,4.47213595499958,1.0,1,0,0,0
89,1,1,6,3,5,4,a1,f3,e4,8/8/8/8/4k3/5R2/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,5,5.0,1.4142135623730951,0,0,0,0
90,1,1,6,3,6,2,a1,f3,f2,8/8/8/8/8/5R2/5k2/K7 w - - 0 1,draw,-1,draw,1,2,2,5,1,5,5.0990195135927845,1.0,1,0,0,0
91,1,1,6,3,6,4,a1,f3,f4,8/8/8/8/5k2/5R2/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,5,5.830951894845301,1.0,1,0,0,0
92,1,1,6,3,7,2,a1,f3,g2,8/8/8/8/8/5R2/6k1/K7 w - - 0 1,draw,-1,draw,1,1,2,6,2,5,6.082762530298219,1.4142135623730951,0,0,0,0
93,1,1,6,3,7,3,a1,f3,g3,8/8/8/8/8/5Rk1/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,1,5,6.324555320336759,1.0,1,0,0,0
94,1,1,6,3,7,4,a1,f3,g4,8/8/8/8/6k1/5R2/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,2,5,6.708203932499369,1.4142135623730951,0,0,0,0
95,1,1,6,4,5,3,a1,f4,e3,8/8/8/8/5R2/4k3/8/K7 w - - 0 1,draw,-1,draw,2,3,1,4,2,5,4.47213595499958,1.4142135623730951,0,0,0,0
96,1,1,6,4,5,4,a1,f4,e4,8/8/8/8/4kR2/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,5,5.0,1.0,1,0,0,0
97,1,1,6,4,5,5,a1,f4,e5,8/8/8/4k3/5R2/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,5,5.656854249492381,1.4142135623730951,0,0,0,0
98,1,1,6,4,6,3,a1,f4,f3,8/8/8/8/5R2/5k2/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,1,5,5.385164807134504,1.0,1,0,0,0
99,1,1,6,4,6,5,a1,f4,f5,8/8/8/5k2/5R2/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,5,6.4031242374328485,1.0,1,0,0,0
100,1,1,6,4,7,3,a1,f4,g3,8/8/8/8/5R2/6k1/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,2,5,6.324555320336759,1.4142135623730951,0,0,0,0
101,1,1,6,4,7,4,a1,f4,g4,8/8/8/8/5Rk1/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,1,5,6.708203932499369,1.0,1,0,0,0
102,1,1,6,4,7,5,a1,f4,g5,8/8/8/6k1/5R2/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,2,5,7.211102550927978,1.4142135623730951,0,0,0,0
103,1,1,6,5,5,4,a1,f5,e4,8/8/8/5R2/4k3/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,5,5.0,1.4142135623730951,0,0,0,0
104,1,1,6,5,5,5,a1,f5,e5,8/8/8/4kR2/8/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,1,5,5.656854249492381,1.0,1,0,0,0
105,1,1,6,5,6,4,a1,f5,f4,8/8/8/5R2/5k2/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,5,5.830951894845301,1.0,1,0,0,0
106,1,1,6,5,6,6,a1,f5,f6,8/8/5k2/5R2/8/8/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,1,5,7.0710678118654755,1.0,1,0,0,0
107,1,1,6,5,7,4,a1,f5,g4,8/8/8/5R2/6k1/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,2,5,6.708203932499369,1.4142135623730951,0,0,0,0
108,1,1,6,5,7,5,a1,f5,g5,8/8/8/5Rk1/8/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,1,5,7.211102550927978,1.0,1,0,0,0
109,1,1,6,5,7,6,a1,f5,g6,8/8/6k1/5R2/8/8/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,2,5,7.810249675906654,1.4142135623730951,0,0,0,0
110,1,1,6,6,5,5,a1,f6,e5,8/8/5R2/4k3/8/8/8/K7 w - - 0 1,draw,-1,draw,3,3,0,4,2,5,5.656854249492381,1.4142135623730951,0,0,0,0
111,1,1,6,6,6,5,a1,f6,f5,8/8/5R2/5k2/8/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,5,6.4031242374328485,1.0,1,0,0,0
112,1,1,6,6,7,5,a1,f6,g5,8/8/5R2/6k1/8/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,2,5,7.211102550927978,1.4142135623730951,0,0,0,0
113,1,1,6,6,7,6,a1,f6,g6,8/8/5Rk1/8/8/8/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,1,5,7.810249675906654,1.0,1,0,0,0
114,1,1,6,6,7,7,a1,f6,g7,8/6k1/5R2/8/8/8/8/K7 w - - 0 1,draw,-1,draw,1,1,2,6,2,5,8.48528137423857,1.4142135623730951,0,0,0,0
115,1,1,6,7,7,6,a1,f7,g6,8/5R2/6k1/8/8/8/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,2,6,7.810249675906654,1.4142135623730951,0,0,0,0
116,1,1,7,1,6,1,a1,g1,f1,8/8/8/8/8/8/8/K4kR1 w - - 0 1,draw,-1,draw,0,2,3,5,1,6,5.0,1.0,1,0,1,0
117,1,1,7,1,6,2,a1,g1,f2,8/8/8/8/8/8/5k2/K5R1 w - - 0 1,draw,-1,draw,1,2,2,5,2,6,5.0990195135927845,1.4142135623730951,0,0,0,0
118,1,1,7,1,7,2,a1,g1,g2,8/8/8/8/8/8/6k1/K5R1 w - - 0 1,draw,-1,draw,1,1,2,6,1,6,6.082762530298219,1.0,1,0,0,0
119,1,1,7,1,8,1,a1,g1,h1,8/8/8/8/8/8/8/K5Rk w - - 0 1,draw,-1,draw,0,0,3,7,1,6,7.0,1.0,1,0,1,1
120,1,1,7,1,8,2,a1,g1,h2,8/8/8/8/8/8/7k/K5R1 w - - 0 1,draw,-1,draw,0,1,3,7,2,6,7.0710678118654755,1.4142135623730951,0,0,1,0
121,1,1,7,2,6,1,a1,g2,f1,8/8/8/8/8/8/6R1/K4k2 w - - 0 1,draw,-1,draw,0,2,3,5,2,6,5.0,1.4142135623730951,0,0,1,0
122,1,1,7,2,6,2,a1,g2,f2,8/8/8/8/8/8/5kR1/K7 w - - 0 1,draw,-1,draw,1,2,2,5,1,6,5.0990195135927845,1.0,1,0,0,0
123,1,1,7,2,6,3,a1,g2,f3,8/8/8/8/8/5k2/6R1/K7 w - - 0 1,draw,-1,draw,2,2,1,5,2,6,5.385164807134504,1.4142135623730951,0,0,0,0
124,1,1,7,2,7,1,a1,g2,g1,8/8/8/8/8/8/6R1/K5k1 w - - 0 1,draw,-1,draw,0,1,3,6,1,6,6.0,1.0,1,0,1,0
125,1,1,7,2,7,3,a1,g2,g3,8/8/8/8/8/6k1/6R1/K7 w - - 0 1,draw,-1,draw,1,2,2,6,1,6,6.324555320336759,1.0,1,0,0,0
126,1,1,7,2,8,1,a1,g2,h1,8/8/8/8/8/8/6R1/K6k w - - 0 1,draw,-1,draw,0,0,3,7,2,6,7.0,1.4142135623730951,0,0,1,1
127,1,1,7,2,8,2,a1,g2,h2,8/8/8/8/8/8/6Rk/K7 w - - 0 1,draw,-1,draw,0,1,3,7,1,6,7.0710678118654755,1.0,1,0,1,0
128,1,1,7,2,8,3,a1,g2,h3,8/8/8/8/8/7k/6R1/K7 w - - 0 1,draw,-1,draw,0,2,3,7,2,6,7.280109889280518,1.4142135623730951,0,0,1,0
129,1,1,7,3,6,2,a1,g3,f2,8/8/8/8/8/6R1/5k2/K7 w - - 0 1,draw,-1,draw,1,2,2,5,2,6,5.0990195135927845,1.4142135623730951,0,0,0,0
130,1,1,7,3,6,3,a1,g3,f3,8/8/8/8/8/5kR1/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,1,6,5.385164807134504,1.0,1,0,0,0
131,1,1,7,3,6,4,a1,g3,f4,8/8/8/8/5k2/6R1/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,6,5.830951894845301,1.4142135623730951,0,0,0,0
132,1,1,7,3,7,2,a1,g3,g2,8/8/8/8/8/6R1/6k1/K7 w - - 0 1,draw,-1,draw,1,1,2,6,1,6,6.082762530298219,1.0,1,0,0,0
133,1,1,7,3,7,4,a1,g3,g4,8/8/8/8/6k1/6R1/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,1,6,6.708203932499369,1.0,1,0,0,0
134,1,1,7,3,8,2,a1,g3,h2,8/8/8/8/8/6R1/7k/K7 w - - 0 1,draw,-1,draw,0,1,3,7,2,6,7.0710678118654755,1.4142135623730951,0,0,1,0
135,1,1,7,3,8,3,a1,g3,h3,8/8/8/8/8/6Rk/8/K7 w - - 0 1,draw,-1,draw,0,2,3,7,1,6,7.280109889280518,1.0,1,0,1,0
136,1,1,7,3,8,4,a1,g3,h4,8/8/8/8/7k/6R1/8/K7 w - - 0 1,draw,-1,draw,0,3,3,7,2,6,7.615773105863909,1.4142135623730951,0,0,1,0
137,1,1,7,4,6,3,a1,g4,f3,8/8/8/8/6R1/5k2/8/K7 w - - 0 1,draw,-1,draw,2,2,1,5,2,6,5.385164807134504,1.4142135623730951,0,0,0,0
138,1,1,7,4,6,4,a1,g4,f4,8/8/8/8/5kR1/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,1,6,5.830951894845301,1.0,1,0,0,0
139,1,1,7,4,6,5,a1,g4,f5,8/8/8/5k2/6R1/8/8/K7 w - - 0 1,draw,-1,draw,2,3,1,5,2,6,6.4031242374328485,1.4142135623730951,0,0,0,0
140,1,1,7,4,7,3,a1,g4,g3,8/8/8/8/6R1/6k1/8/K7 w - - 0 1,draw,-1,draw,1,2,2,6,1,6,6.324555320336759,1.0,1,0,0,0
141,1,1,7,4,7,5,a1,g4,g5,8/8/8/6k1/6R1/8/8/K7 w - - 0 1,draw,-1,draw,1,3,2,6,1,6,7.211102550927978,1.0,1,0,0,0
142,1,1,7,4,8,3,a1,g4,h3,8/8/8/8/6R1/7k/8/K7 w - - 0 1,draw,-1,draw,0,2,3,7,2,6,7.280109889280518,1.4142135623730951,0,0,1,0
143,1,1,7,4,8,4,a1,g4,h4,8/8/8/8/6Rk/8/8/K7 w - - 0 1,draw,-1,draw,0,3,3,7,1,6,7.615773105863909,1.0,1,0,1,0
