animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,legs,type,class_name
skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,2,bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,3,reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,invertebrate
sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,4,fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2,1,mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,7,invertebrate
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,4,fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,2,2,bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,6,insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,4,5,amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,4,3,reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,4,3,reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,4,fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,2,1,mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,4,1,mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,2,2,bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,2,1,mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,6,6,insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,invertebrate
wren,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
